Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z
Polka Dot Loach,/species-spotlight/polka-dot-loach/,BotiaKubotai,Actinopterygii,Cypriniformes,Botiidae,Semi-Aggressive,Bottom - Middle,Omnivore,6.7,5.5,25.85,12.0,AS,4.8055186,-2.8068902,-0.13734908
Polystictus Corydoras,/species-spotlight/polystictus-corydoras/,Corydoraspolystictus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,15.0,25.0,3.0,SA,-13.209004,-2.669265,2.9070833
Pond Snail,/species-spotlight/pond-snail/,Lymnaeastagnalis,Gastropoda,Hygrophila,Lymnaeidae,Peaceful,All Levels,Omnivore,7.5,6.0,16.1,7.0,EU,5.3980565,-11.294795,1.3006383
Popondetta Blue Eye Rainbowfish,/species-spotlight/popondetta-blue-eye-rainbowfish/,Pseudomugilconnieae,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.0,10.0,25.85,5.0,OC,3.589955,7.1299763,-1.8963288
Porthole Rasbora,/species-spotlight/porthole-rasbora/,Rasboracephalotaenia,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.25,6.5,23.5,13.0,AS,-4.3276806,-0.043999895,-1.6385897
Pretty Tetra,/species-spotlight/pretty-tetra/,Hemigrammuspulcher,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.25,6.5,24.5,4.5,SA,11.113949,-0.8807781,0.24809617
Pulcher Corydoras,/species-spotlight/pulcher-corydoras/,Corydoraspulcher,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,13.5,24.4,7.0,SA,-11.534301,-2.130561,0.7535714
Purple Pencilfish,/species-spotlight/purple-pencilfish/,Nannostomusrubrocaudatus,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,7.0,25.85,4.0,SA,13.089898,1.0399783,-1.8294946
Pygmy Corydoras,/species-spotlight/pygmy-corydoras/,CorydorasPygmaeus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.15,3.0,SA,-13.734142,-2.1619742,2.457331
Queen Arabesque Plecostomus L260,/species-spotlight/queen-arabesque-plecostomus-l260/,Hypancistrussp,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Omnivore,6.5,8.5,26.95,9.0,SA,5.1784415,-2.3704946,1.4611685
Raccoon Tetra,/species-spotlight/raccoon-tetra/,Hyphessobryconprocyon,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.25,10.0,25.85,5.0,SA,7.954901,0.8242805,1.199726
Rainbow Cichlid,/species-spotlight/rainbow-cichlid/,Herotilapiamultispinosa,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,All Levels,Omnivore,7.5,12.5,25.0,17.0,NAM,-3.0537932,-2.6087112,0.3099137
Rainbow Copella Tetra,/species-spotlight/rainbow-copella-tetra/,Copellavilmae,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.0,7.5,23.9,4.5,SA,12.6476345,1.1610645,-2.2464988
Rainbow Shark,/species-spotlight/rainbow-shark/,EpalzeorhynchosFrenatum,Actinopterygii,Cypriniformes,Cyprinidae,Semi-Aggressive,Bottom - Middle,Omnivore,7.0,13.0,24.45,15.0,AS,-4.929827,-2.789953,-0.19977121
Rainbow Shiner,/species-spotlight/rainbow-shiner/,Notropischrosomus,Actinopterygii,Cypriniformes,Leuciscidae,Peaceful,Middle - Top,Omnivore,7.25,17.5,16.95,8.0,NAM,5.785294,-7.267093,2.6408534
Rainbow Tetra,/species-spotlight/rainbow-tetra/,Nematobryconlacortei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle,Omnivore,6.0,6.5,24.45,4.0,SA,11.43533,-0.9526475,0.81921273
Ramshorn Snail,/species-spotlight/ramshorn-snail/,Planorbelladuryi,Gastropoda,Hygrophila,Planorbidae,Peaceful,All Levels,Herbivore,7.5,11.0,23.35,2.5,NAM,5.8242726,-11.018192,1.3038129
Red Banded Leporinus,/species-spotlight/red-banded-leporinus/,Synaptolaemuslatofasciatus,Actinopterygii,Characiformes,Anostomidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,26.1,12.0,SA,5.4892926,-1.0560354,-1.0797015
Red Base Tetra,/species-spotlight/red-base-tetra/,Hemigrammusstictus,Actinopterygii,Characiformes,Characidae,Peaceful,Top,Omnivore,6.7,10.0,24.45,4.5,SA,8.345669,1.6337695,0.3302301
Red Belted Goby,/species-spotlight/red-belted-goby/,Sicyopuszosterophorus,Actinopterygii,Gobiiformes,Oxudercidae,Peaceful,Bottom - Middle,Carnivore,6.75,7.5,23.9,5.0,AS,5.23962,-10.613486,1.7147046
Red Chinned Panchax,/species-spotlight/red-chinned-panchax/,Epiplatysdageti,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,23.6,5.0,AF,8.420565,-4.0840707,-0.7811624
Red Devil Tetra,/species-spotlight/red-devil-tetra/,Hyphessobryconpiranga,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,10.0,25.0,3.5,SA,8.991239,1.8454363,1.3191571
Red Eye Tetra,/species-spotlight/red-eye-tetra/,Moenkhausiasanctaefilomenae,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,7.0,12.5,26.65,7.0,SA,5.746664,0.9795671,1.3546344
Red Garra,/species-spotlight/red-garra/,GarraRufa,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom,Omnivore,7.0,10.0,19.75,14.0,AS,-5.0841007,-2.015378,-1.8844903
Red Laser Tetra,/species-spotlight/red-laser-tetra/,Hemigrammuscoeruleus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,25.0,6.0,SA,8.610917,-0.3241546,0.04884331
Red Line Lizard Tetra,/species-spotlight/red-line-lizard-tetra/,Iguanodectesgeisleri,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.0,6.0,24.75,5.5,SA,11.136925,-1.2194662,-0.28844136
Red Line Rasbora,/species-spotlight/red-line-rasbora/,Trigonopomapauciperforata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.25,8.5,23.0,6.0,AS,-6.1535807,3.929967,0.25958073
Red Line Tetra,/species-spotlight/red-line-tetra/,Hyphessobryconamapaensis,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.0,10.0,25.55,3.0,SA,9.388943,1.932739,1.9372311
Red Neon Blue Eye Rainbowfish,/species-spotlight/red-neon-blue-eye-rainbowfish/,Pseudomugilluminatus,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.0,13.5,21.5,4.0,AS,3.0228384,6.510231,-0.72667694
Red Nose Shrimp,/species-spotlight/red-nose-shrimp/,Caridinagracilirostris,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.5,9.5,25.85,4.5,AS,-5.156954,9.112312,-0.5161304
Red Phantom Tetra,/species-spotlight/red-phantom-tetra/,Hyphessobryconsweglesi,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.0,11.5,21.0,4.0,SA,7.7038803,3.2620409,-0.5022716
Red Rainbowfish,/species-spotlight/red-rainbowfish/,GlossolepisIncisus,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle - Top,Omnivore,7.75,15.0,25.0,15.0,OC,1.7780021,4.3536334,-1.9560581
Red Rili Shrimp,/species-spotlight/red-rili-shrimp/,Neocaridinadavidivar,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,6.0,23.85,4.0,AS,-5.976555,9.572281,0.5632163
